Country,Site,Latitude (N),No.,Shoot biomass,L-Area (cm),L-SLA,Height (cm),Inflorescence length (cm),Seed setting (%),,,,,,,,
China,LZ,20.9,4,9.7,11.475,0.013943355,127.3333333,20.25,1.973361229,,,,,,,,
China,LZ,20.9,5,8.69,,,180.3333333,23.75,0,,,,,,,,
China,LZ,20.9,6,8.63,16.8,0.011309524,150.6666667,22.2,13.25978787,,,,,,,,
China,LZ,20.9,7,5,14.1075,0.011341485,151.3333333,23.4,10.56584752,,,,,,,,
China,LZ,20.9,8,4.9,17.4825,0.013156013,129.6666667,22.275,26.26803865,,,,,,,,
China,LZ,20.9,9,7.26,11.295,0.009738822,167.3333333,22.725,3.490727785,,,,,,,,
China,LZ,20.9,10,6.17,18.4,0.009782609,151,,,,,,,,,,
China,ZH,22.42,1,6.07,11.5,0.012173913,229.3333333,29.875,2.272426953,,,,,,,,
China,ZH,22.42,2,6.65,20.5,0.012195122,172,29.125,7.537550678,,,,,,,,
China,ZH,22.42,3,7.23,35,0.01,183.3333333,27.70833333,8.180757556,,,,,,,,
China,ZH,22.42,4,11.8,37.8,0.01031746,191,29.625,7.800858259,,,,,,,,
China,ZH,22.42,5,11.98,17.5,0.012571429,214,29.58333333,7.927118757,,,,,,,,
China,ZH,22.42,6,23.2,27.3,0.013186813,178.3333333,29.08333333,6.167961883,,,,,,,,
China,ZH,22.42,7,7.69,18.5,0.011351351,177,24.20833333,15.41148111,,,,,,,,
China,ZH,22.42,8,8.37,22.75,0.007032967,129.6666667,22.20833333,10.97485859,,,,,,,,
China,ZH,22.42,9,16.18,33.15,0.010558069,145.3333333,,,,,,,,,,
China,ZH,22.42,10,12.84,29.25,0.010598291,141.3333333,,,,,,,,,,
China,YX,23.91,1,15.21,20,0.0115,171.6666667,39.16666667,28.92284479,,,,,,,,
China,YX,23.91,2,11.46,29.4,0.018707483,164.3333333,34.25,12.02963326,,,,,,,,
China,YX,23.91,3,15.39,20.79,0.014911015,163.3333333,29,40.78443316,,,,,,,,
China,YX,23.91,4,20.76,24.1,0.015767635,195,26.83333333,54.44743479,,,,,,,,
China,YX,23.91,5,15.04,23.5,0.01787234,188.3333333,24.75,58.42594478,,,,,,,,
China,YX,23.91,6,15.96,28.2,0.010992908,186,27.91666667,47.34379714,,,,,,,,
China,YX,23.91,7,52.34,49.3,0.014198783,208.3333333,31.25,29.76459635,,,,,,,,
China,YX,23.91,8,16.01,21.6,0.013425926,180,28.5,66.49904971,,,,,,,,
China,YX,23.91,9,22.87,27.6,0.008695652,198.3333333,32.95833333,1.627514544,,,,,,,,
China,YX,23.91,10,14.98,24,0.015833333,191.3333333,30.08333333,13.95346567,,,,,,,,
China,LY,26.45,1,21.83,27.775,0.014041404,193,27.58333333,34.8618046,,,,,,,,
China,LY,26.45,2,33.03,29.9,0.013712375,198.3333333,29.5,39.51918619,,,,,,,,
China,LY,26.45,3,18.27,22.605,0.0154833,199,32.33333333,27.96959511,,,,,,,,
China,LY,26.45,4,32.53,41.4,0.014975845,206.6666667,30.16666667,78.42807593,,,,,,,,
China,LY,26.45,5,25.85,18.975,0.011594203,196.6666667,31.5,65.11731254,,,,,,,,
China,LY,26.45,6,19.94,28.875,,214.6666667,31.83333333,82.68068112,,,,,,,,
China,LY,26.45,7,27.79,29.575,0.01487743,206.6666667,32.33333333,15.81245155,,,,,,,,
China,LY,26.45,8,25.98,18,0.015555556,216.6666667,30,1.962850771,,,,,,,,
China,LY,26.45,9,40.46,52.7,0.016888046,231.3333333,,,,,,,,,,
China,LY,26.45,10,19.47,27.28,0.017961877,214.3333333,,,,,,,,,,
